"Age range","Midpoint OR","Overall OR"
"1 -- 3",1.90864682641866,1.9060472738948
"2 -- 4",1.7262274602663,1.73894997173458
"3 -- 5",1.57546107301331,1.63853484899269
"4 -- 6",1.61368412322105,1.51088533518472
"5 -- 7",1.34267349060808,1.4236926471499
"6 -- 8",1.31292420844051,1.27707606375195
"7 -- 9",1.1753100612452,1.19603780184577
"8 -- 10",1.10119835246137,1.08038769564446
"1 -- 5",1.7262274602663,1.78278529311294
"2 -- 6",1.57546107301331,1.63585542831153
"3 -- 7",1.61368412322105,1.51510704595639
"4 -- 8",1.34267349060808,1.40493278228242
"5 -- 9",1.31292420844051,1.30951403430737
"6 -- 10",1.1753100612452,1.17914889754785
"1 -- 7",1.57546107301331,1.65472709313096
"2 -- 8",1.61368412322105,1.5256230642647
"3 -- 9",1.34267349060808,1.40777617616498
"4 -- 10",1.31292420844051,1.29857361212082
